date,open,high,low,close,volume,vwap,transactions,ticker
2021-09-20,434.88,436.56,428.86,434.04,165478034.0,433.6052,1162776,SPY
2021-09-21,436.53,437.91,433.07,433.63,92357112.0,435.1409,688757,SPY
2021-09-22,436.05,440.03,433.747,437.86,101480143.0,437.8969,775245,SPY
2021-09-23,439.85,444.89,439.6,443.18,76365981.0,442.9113,560385,SPY
2021-09-24,441.44,444.67,441.21,443.91,61994837.0,443.3184,407156,SPY
2021-09-27,442.81,444.05,441.9,442.64,60867583.0,443.0258,426386,SPY
2021-09-28,439.69,440.04,432.94,433.72,130350306.0,435.6609,948210,SPY
2021-09-29,435.19,437.04,433.85,434.45,82058963.0,435.3033,598061,SPY
2021-09-30,436.02,436.77,428.78,429.14,140598198.0,432.0754,928225,SPY
2021-10-01,430.98,436.0329,427.23,434.24,129107301.0,431.7327,852551,SPY
2021-10-04,433.0,433.96,426.36,428.64,128346956.0,429.0805,940502,SPY
2021-10-05,430.24,435.49,429.39,433.1,90682519.0,433.1342,595529,SPY
2021-10-06,429.27,435.1199,427.54,434.9,112977345.0,431.7015,828088,SPY
2021-10-07,438.39,441.68,438.2,438.66,72335949.0,439.676,524649,SPY
2021-10-08,439.48,439.89,437.19,437.86,74665304.0,438.3975,488344,SPY
2021-10-11,437.16,440.26,434.62,434.69,65233283.0,437.1387,435654,SPY
2021-10-12,435.67,436.1,432.78,433.62,71170063.0,434.3746,492212,SPY
2021-10-13,434.71,436.05,431.54,435.18,72761979.0,434.0766,513022,SPY
2021-10-14,439.08,442.66,438.58,442.5,67509325.0,441.0021,451179,SPY
2021-10-15,444.75,446.26,444.09,445.87,66145960.0,445.1634,417630,SPY
2021-10-18,443.97,447.55,443.27,447.19,62213228.0,446.2843,390540,SPY
2021-10-19,448.92,450.71,448.27,450.64,46957827.0,449.8321,376977,SPY
2021-10-20,451.13,452.732,451.01,452.41,49571569.0,451.912,371072,SPY
2021-10-21,451.77,453.829,451.31,453.59,41055438.0,452.4889,315667,SPY
2021-10-22,453.13,454.67,451.05,453.12,58745088.0,453.0362,494968,SPY
2021-10-25,454.28,455.9,452.39,455.55,45173607.0,454.6282,346367,SPY
2021-10-26,457.2,458.49,455.56,455.96,55858916.0,456.8677,459682,SPY
2021-10-27,456.45,457.16,453.86,453.94,72215997.0,455.217,442869,SPY
2021-10-28,455.46,458.4,455.45,458.32,51412959.0,456.8443,361417,SPY
2021-10-29,455.87,459.56,455.56,459.25,70147024.0,458.3068,436007,SPY
2021-11-01,460.3,460.7021,458.2,460.04,48433642.0,459.4617,408110,SPY
2021-11-02,460.22,462.23,460.08,461.9,48504417.0,461.3643,342315,SPY
2021-11-03,461.3,465.15,460.83,464.72,52507426.0,463.0092,427380,SPY
2021-11-04,465.36,467.0,464.99,466.91,52842687.0,465.9631,386856,SPY
2021-11-05,469.28,470.65,466.92,468.53,66100363.0,468.8804,494032,SPY
2021-11-08,469.7,470.23,468.2031,468.93,50192592.0,468.9905,354640,SPY
2021-11-09,469.32,469.57,465.88,467.38,51132147.0,467.3029,461988,SPY
2021-11-10,465.58,467.38,462.04,463.62,69429644.0,464.8782,556473,SPY
2021-11-11,465.21,465.29,463.75,463.77,34848494.0,464.3668,282338,SPY
2021-11-12,465.12,467.86,464.11,467.27,53466654.0,466.3091,344554,SPY
2021-11-15,468.64,468.81,466.23,467.43,46967500.0,467.3737,372696,SPY
2021-11-16,467.15,470.485,467.07,469.28,48857502.0,469.0457,328010,SPY
2021-11-17,469.0,469.19,467.48,468.14,47158289.0,468.37,327913,SPY
2021-11-18,469.24,470.01,466.34,469.73,50625607.0,468.7785,368768,SPY
2021-11-19,469.61,470.94,468.5,468.89,54378573.0,469.4411,355189,SPY
2021-11-22,470.89,473.54,467.35,467.57,72491954.0,470.435,542126,SPY
2021-11-23,467.22,469.095,464.45,468.19,73206538.0,466.9913,563874,SPY
2021-11-24,466.06,469.57,465.19,469.44,61508813.0,468.0542,436744,SPY
2021-11-26,462.34,463.9,457.77,458.97,112669635.0,461.2786,785687,SPY
